inventory_group,source_id,name,source_url,exact_access_url,ats_platform,ats_tenant_identifier,access_method,configuration_location,status,last_attempted_ingestion,last_successful_ingestion,evidence,bounded_endpoint_observation,refresh_schedule,jobs_fetched_last_successful_run,current_unique_active_jobs,current_verified_remote_jobs,ingestion_permission_status,paid_board_display_permission_status,permission_evidence,restrictions_or_missing_configuration
direct_employer_or_ats_tenant,concentrix,Concentrix Careers,https://jobs.concentrix.com/,https://jobs.concentrix.com/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:concentrix; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://jobs.concentrix.com/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,foundever,Foundever Careers,https://jobs.foundever.com/,https://jobs.foundever.com/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:foundever; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://jobs.foundever.com/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,tp,TP Careers,https://www.tp.com/en-us/locations/united-states/careers/,https://www.tp.com/en-us/locations/united-states/careers/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:tp; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://www.tp.com/en-us/locations/united-states/careers/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,alorica,Alorica Careers,https://www.alorica.com/careers,https://www.alorica.com/careers,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:alorica; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://www.alorica.com/careers,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,conduent,Conduent Careers,https://careers.conduent.com/,https://careers.conduent.com/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:conduent; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://careers.conduent.com/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,ttec,TTEC Careers,https://www.ttecjobs.com/,https://www.ttecjobs.com/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:ttec; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://www.ttecjobs.com/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,cvs-health,CVS Health Careers,https://jobs.cvshealth.com/us/en/,https://jobs.cvshealth.com/us/en/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:cvs-health; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://jobs.cvshealth.com/us/en/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,unitedhealth-group,UnitedHealth Group Careers,https://careers.unitedhealthgroup.com/,https://careers.unitedhealthgroup.com/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:unitedhealth-group; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://careers.unitedhealthgroup.com/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,humana,Humana Careers,https://careers.humana.com/,https://careers.humana.com/,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:humana; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://careers.humana.com/,No structured adapter configured; manual official-page research only.
direct_employer_or_ats_tenant,cigna-evernorth,Cigna and Evernorth Careers,https://jobs.thecignagroup.com/us/en,https://jobs.thecignagroup.com/us/en,unknown,unknown,manual_official_career_page,src/lib/jobs/source-registry.ts#jobSources:cigna-evernorth; supabase/migrations/202609020003_job_source_expansion.sql,configured but unverified,never; zero job_source_runs in staging and production at audit time,never; zero job_source_runs in staging and production at audit time,"staging and production Supabase job_source_runs=0, jobs=0, job_source_references=0; audited 2026-09-08",not tested,none,0 (no successful run),0,0,manual_research_only,direct_link_only,https://jobs.thecignagroup.com/us/en,No structured adapter configured; manual official-page research only.
