name,exact_url,current_registry_status,permission_status,reason
SecretRemote,https://secretremote.com/,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
Welcome to the Jungle / Otta,https://www.welcometothejungle.com/,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
We Work Remotely,https://weworkremotely.com/,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
FlexJobs,https://www.flexjobs.com/,not_added,requires_license_or_written_permission,"Paywalled/licensed source; no approved feed or paid-display permission is recorded."
Remote OK,https://remoteok.com/,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
Wellfound,https://wellfound.com/jobs,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
Himalayas,https://himalayas.app/jobs,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
Rat Race Rebellion,https://ratracerebellion.com/,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
SkipTheDrive,https://www.skipthedrive.com/,not_added,unknown,"Appears only in a supporting research document; no canonical registry row, adapter, permission evidence, batch, run, or job record."
Virtual Vocations,https://www.virtualvocations.com/,not_added,requires_license_or_written_permission,"Paywalled/licensed source; no approved feed or paid-display permission is recorded."
